commit	val_bpb	memory_gb	status	description
exp072	4.008739	1.8	discard	random nas d=5 width=128 heads=2 act=GELU attn=full
exp073	3.993994	2.8	discard	random nas d=8 width=128 heads=8 act=ReluSquared attn=windowed
exp074	3.988094	7.3	discard	random nas d=5 width=512 heads=2 act=SiLU attn=full
exp075	3.980986	5.9	discard	random nas d=8 width=288 heads=6 act=ReLU attn=full
exp076	3.982960	5.9	discard	random nas d=3 width=480 heads=8 act=ReluSquared attn=windowed
exp077	3.987830	6.7	discard	random nas d=5 width=480 heads=4 act=SiLU attn=windowed
exp078	3.969318	5.6	keep	random nas d=8 width=256 heads=4 act=ReluSquared attn=windowed
exp079	3.972498	5.4	discard	random nas d=5 width=384 heads=8 act=ReluSquared attn=windowed
exp080	3.986757	8.4	discard	random nas d=8 width=384 heads=4 act=GELU attn=windowed
exp081	3.987879	3.4	discard	random nas d=7 width=160 heads=8 act=SiLU attn=full
exp082	3.984564	2.9	discard	random nas d=4 width=288 heads=3 act=ReLU attn=windowed
exp083	3.977620	6.4	discard	random nas d=7 width=320 heads=4 act=GELU attn=full
exp084	3.973627	4.3	discard	random nas d=8 width=192 heads=3 act=SiLU attn=full
exp085	3.983541	3.7	discard	random nas d=7 width=192 heads=8 act=ReluSquared attn=windowed
exp086	3.976920	3.2	discard	random nas d=6 width=192 heads=3 act=GELU attn=windowed
exp087	3.988683	6.2	discard	random nas d=5 width=448 heads=4 act=SiLU attn=windowed
exp088	3.978662	4.7	discard	random nas d=7 width=224 heads=8 act=ReluSquared attn=full
exp089	3.976261	6.3	discard	random nas d=7 width=320 heads=2 act=SiLU attn=full
exp090	3.984988	4.0	discard	random nas d=4 width=352 heads=2 act=GELU attn=full
exp091	3.979232	2.7	discard	random nas d=5 width=192 heads=4 act=GELU attn=windowed
exp092	3.978177	5.8	discard	random nas d=7 width=288 heads=6 act=GELU attn=full
exp093	3.983765	5.4	discard	random nas d=4 width=480 heads=5 act=SiLU attn=windowed
exp094	3.976610	5.9	discard	random nas d=6 width=352 heads=4 act=SiLU attn=windowed
exp095	3.986857	3.8	discard	random nas d=8 width=160 heads=8 act=ReluSquared attn=full
exp096	3.988437	9.3	discard	random nas d=7 width=480 heads=4 act=ReluSquared attn=windowed
exp097	3.983337	6.4	discard	random nas d=5 width=480 heads=8 act=ReLU attn=full
exp098	3.982918	7.2	discard	random nas d=8 width=352 heads=4 act=ReLU attn=full
exp099	3.974412	5.1	discard	random nas d=8 width=224 heads=2 act=GELU attn=full
exp100	3.974204	4.5	discard	random nas d=7 width=224 heads=4 act=SiLU attn=full
